Date,Car_ID,System_Affected,Units,Model
"Monday, March 22, 2021",10001,Anti-Lock Braking,13224,Toyota Camry
"Sunday, August 28, 2022",10001,Lights And Instruments,21404,Toyota Camry
"Thursday, November 11, 2021",10001,Fuel Injector,24746,Toyota Camry
"Thursday, October 22, 2020",10001,Exhaust Emissions,43240,Toyota Camry
"Monday, January 03, 2022",10001,Transmission,15132,Toyota Camry
"Wednesday, January 24, 2024",10001,Transmission,2511,Toyota Camry
"Thursday, June 10, 2021",10002,Seat Belts,22110,Toyota Corolla
"Saturday, July 10, 2021",10002,Anti-Lock Braking,42034,Toyota Corolla
"Sunday, February 13, 2022",10002,Power Steering,35709,Toyota Corolla
"Wednesday, April 08, 2020",10003,Suspension,40894,Toyota RAV4
"Saturday, April 27, 2019",10003,Suspension,44947,Toyota RAV4
"Friday, November 08, 2024",10003,Exhaust Emissions,18055,Toyota RAV4
"Tuesday, October 03, 2023",10003,Power Steering,23718,Toyota RAV4
"Friday, October 18, 2024",10003,Braking System,40473,Toyota RAV4
"Saturday, January 05, 2019",10004,Anti-Lock Braking,26036,Toyota Highlander
"Saturday, January 09, 2021",10004,Airbag Module,28345,Toyota Highlander
"Friday, October 27, 2023",10004,Tire Pressure Monitor,22799,Toyota Highlander
"Saturday, November 20, 2021",10005,Electrical System,20070,Toyota Tacoma
"Sunday, December 18, 2022",10005,Engine Control Unit,36425,Toyota Tacoma
"Sunday, September 15, 2024",10005,HVAC System,4690,Toyota Tacoma
"Sunday, September 15, 2024",10005,HVAC System,4690,Toyota Tacoma
"Tuesday, March 26, 2024",10005,Steering Column,27728,Toyota Tacoma
"Wednesday, August 31, 2022",10005,Steering Column,33523,Toyota Tacoma
"Tuesday, November 16, 2021",10005,Power Steering,46916,Toyota Tacoma
"Friday, June 09, 2023",10006,Cooling System,20204,Ford F-150
"Wednesday, May 06, 2020",10006,Engine Control Unit,23639,Ford F-150
"Monday, October 23, 2023",10006,Exhaust Emissions,27796,Ford F-150
"Wednesday, October 16, 2024",10006,Tire Pressure Monitor,25321,Ford F-150
"Tuesday, December 05, 2023",10006,Suspension,34699,Ford F-150
"Sunday, July 19, 2020",10006,Transmission,25822,Ford F-150
"Wednesday, May 12, 2021",10007,Electrical System,7427,Ford Explorer
"Tuesday, October 05, 2021",10007,Airbag Module,48830,Ford Explorer
"Wednesday, September 29, 2021",10007,Engine Control Unit,43685,Ford Explorer
"Wednesday, September 29, 2021",10007,Engine Control Unit,43685,Ford Explorer
"Tuesday, December 10, 2019",10007,HVAC System,27392,Ford Explorer
"Thursday, August 13, 2020",10007,Electrical System,19908,Ford Explorer
"Saturday, October 05, 2019",10007,Rear Camera,18545,Ford Explorer
"Thursday, February 08, 2024",10007,Fuel Injector,41229,Ford Explorer
