Postal Code,Date,Sentiment,Year
80101,1/31/2019,Positive,2019
80102,1/31/2019,Negative,2019
80103,1/31/2019,Positive,2019
80104,1/31/2019,Neutral,2019
80105,1/31/2019,Positive,2019
80106,1/31/2019,Neutral,2019
80107,1/31/2019,Negative,2019
80108,1/31/2019,Negative,2019
80109,1/31/2019,Positive,2019
80110,1/31/2019,Negative,2019
80111,1/31/2019,Negative,2019
80112,1/31/2019,Neutral,2019
80113,1/31/2019,Positive,2019
80114,1/31/2019,Positive,2019
80115,1/31/2019,Positive,2019
80116,1/31/2019,Positive,2019
80117,1/31/2019,Neutral,2019
80118,1/31/2019,Positive,2019
80119,1/31/2019,Positive,2019
80120,1/31/2019,Positive,2019
80121,1/31/2019,Positive,2019
80122,1/31/2019,Negative,2019
80123,1/31/2019,Negative,2019
80124,1/31/2019,Negative,2019
80125,1/31/2019,Neutral,2019
80126,1/31/2019,Neutral,2019
80127,1/31/2019,Positive,2019
80128,1/31/2019,Positive,2019
80129,1/31/2019,Negative,2019
80130,1/31/2019,Positive,2019
80131,1/31/2019,Neutral,2019
80132,1/31/2019,Neutral,2019
80133,1/31/2019,Positive,2019
80134,1/31/2019,Positive,2019
80135,1/31/2019,Positive,2019
80136,1/31/2019,Neutral,2019
80137,1/31/2019,Negative,2019
80138,1/31/2019,Neutral,2019
80139,1/31/2019,Positive,2019
80140,1/31/2019,Negative,2019
80141,1/31/2019,Positive,2019
80142,1/31/2019,Positive,2019
80143,1/31/2019,Positive,2019
80144,1/31/2019,Positive,2019
80145,1/31/2019,Negative,2019
80146,1/31/2019,Positive,2019
80147,1/31/2019,Positive,2019
80148,1/31/2019,Positive,2019
80149,1/31/2019,Positive,2019
80150,1/31/2019,Positive,2019
80151,1/31/2019,Positive,2019
80152,1/31/2019,Neutral,2019
80153,1/31/2019,Negative,2019
80154,1/31/2019,Neutral,2019
80155,1/31/2019,Positive,2019
80156,1/31/2019,Positive,2019
80157,1/31/2019,Positive,2019
80158,1/31/2019,Neutral,2019
80159,1/31/2019,Negative,2019
80160,1/31/2019,Positive,2019
80161,1/31/2019,Negative,2019
80162,1/31/2019,Positive,2019
80163,1/31/2019,Negative,2019
80164,1/31/2019,Positive,2019
80165,1/31/2019,Positive,2019
80166,1/31/2019,Positive,2019
80167,1/31/2019,Positive,2019
80168,1/31/2019,Negative,2019
80169,1/31/2019,Positive,2019
80170,1/31/2019,Neutral,2019
80171,1/31/2019,Positive,2019
80172,1/31/2019,Negative,2019
80173,1/31/2019,Neutral,2019
80174,1/31/2019,Positive,2019
80175,1/31/2019,Positive,2019
80176,1/31/2019,Negative,2019
80177,1/31/2019,Negative,2019
80178,1/31/2019,Neutral,2019
80179,1/31/2019,Positive,2019
80180,1/31/2019,Negative,2019
80181,1/31/2019,Positive,2019
80182,1/31/2019,Negative,2019
80183,1/31/2019,Neutral,2019
80184,1/31/2019,Positive,2019
80185,1/31/2019,Positive,2019
80186,1/31/2019,Negative,2019
80187,1/31/2019,Negative,2019
80188,1/31/2019,Negative,2019
80189,1/31/2019,Positive,2019
80190,1/31/2019,Positive,2019
80191,1/31/2019,Neutral,2019
80192,1/31/2019,Positive,2019
80193,1/31/2019,Positive,2019
80194,1/31/2019,Positive,2019
80195,1/31/2019,Negative,2019
80196,1/31/2019,Positive,2019
